"topic_id","post_number","author","html_message","timestamp"
1030,23,"85f5a42aa7b648e4","<html>
  <head>
    
  </head>
  <body>
    <p>
      Tbh, fd897c3091b5bee1 really is a ****ter, but this whole hate 
      circlejerk is really not necessary. Personally, when I see someone 
      acting like they have autism, I prefer to ignore them, not make a thread 
      about it.
    </p>
  </body>
</html>
","2014-10-05 00:00:00"
1030,24,"4f26faf68d52e44b","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>160a1b78dcdbd065</strong>:
        </div>
        <div>
          i can tell by your <u><b>assumptions</b></u> and level of 
          intelligence that you're still in highschool.
        </div>
      </div>
    </div>
    <br>
    <br>
    Are you in highschool as well?<br>I actually like fd897c3091b5bee1, but 
    you're definitely not going to make anyone see the light with statements 
    like that.
  </body>
</html>
","2014-10-05 00:00:00"
1030,25,"1649ddb9d9410e9e","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>85f5a42aa7b648e4</strong>:
        </div>
        <div>
          Tbh, fd897c3091b5bee1 really is a ****ter, but this whole hate 
          circlejerk is really not necessary. Personally, when I see someone 
          acting like they have autism, I prefer to ignore them, not make a 
          thread about it.
        </div>
      </div>
    </div>
    <br>
    fd897c3091b5bee1 has been here for years, ignoring him won't make him go 
    away.
  </body>
</html>
","2014-10-05 00:00:00"
1030,26,"3119022d64981c06","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>160a1b78dcdbd065</strong>:
        </div>
        <div>
          you people all make me sick. He did nothing wrong to deserve it. 
          Everyone just targets him because they don't like him even if he 
          doesn't do anything wrong now. Why don't you sad nerds go find 
          something to do with your lives other than talk **** about someone 
          that doesn't even affect your guys' lives? Oh wait you don't have 
          lives... That's why you're making this thread.<br><br>Inb4 &quot;hurr 
          durr fd897c3091b5bee1 fanboy&quot; no not really. I've seen his stream a 
          couple of times, that's about it, and i'd defend anyone in his 
          position if the same thing were to happen because this thread and 
          you people are full of ****. You all disgust me.<br><br>Gd is like 
          highschool, everyone says everyone in gd is cancerous filth well 
          guess what the same applies to you kids.
        </div>
      </div>
    </div>
    <br>
    <br>
    <br>
    <a href=""/board/attachment.php?attachmentid=1089153"">1089153</a>

    <p>
      
    </p>
    <div class=""post_attachments"" style=""margin-top: 15px"">
      <fieldset class=""fieldset"">
      

      <table cellpadding=""0"" cellspacing=""3"" border=""0"">
        <tr>
          <td>
            <a href=""attachment.php?attachmentid=1089153"">ahahahLOLWTFYES.jpg</a>
          </td>
        </tr>
      </table>
      </fieldset>
    </div>
  </body>
</html>
","2014-10-05 00:00:00"
1030,27,"160a1b78dcdbd065","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>4f26faf68d52e44b</strong>:
        </div>
        <div>
          Are you in highschool as well?<br><br>I actually like 
          fd897c3091b5bee1, but you're definitely not going to make anyone see 
          the light with statements like that.
        </div>
      </div>
    </div>
    <br>
    i don't give a **** if people like him or not. my point isn't 
    &quot;fd897c3091b5bee1 is great guys stop hating&quot;<br><br>

    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>85f5a42aa7b648e4</strong>:
        </div>
        <div>
          Tbh, fd897c3091b5bee1 really is a ****ter, but this whole hate 
          circlejerk is really not necessary. Personally, when I see someone 
          acting like they have autism, I prefer to ignore them, not make a 
          thread about it.
        </div>
      </div>
    </div>
    <br>
    <br>
    

    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>85f5a42aa7b648e4</strong>:
        </div>
        <div>
          but this whole hate circlejerk is really not necessary
        </div>
      </div>
    </div>
    <br>
    <br>
    ^^^^^^^^^^ THIS is my point.<br><br>Do you kids really have ****ing 
    nothing better to do?!? really? go jack off if you're THIS ****ing bored 
    that you feel the need to hate on someone for no good reason.
  </body>
</html>
","2014-10-05 00:00:00"
1030,28,"160a1b78dcdbd065","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>1649ddb9d9410e9e</strong>:
        </div>
        <div>
          fd897c3091b5bee1 has been here for years, ignoring him won't make 
          him go away.
        </div>
      </div>
    </div>
    <br>
    he's been here for years and i don't have to deal with him. in fact i've 
    NEVER had to deal with him. the only people that have are those in 
    challenger lol! why the **** are you complaining kid?! you're not in 
    challenger so why do you give a ****?
  </body>
</html>
","2014-10-05 00:00:00"
1030,29,"1649ddb9d9410e9e","<p>Because his posts inflict physical pain on me</p>","2014-10-05 00:00:00"
1030,30,"160a1b78dcdbd065","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>1649ddb9d9410e9e</strong>: 
  </div> 
  <div>
    Because his posts inflict physical pain on me 
  </div> 
 </div> 
</div> 
<br /> you still don't have to deal with him. blacklist him and don't click on his posts. are you ****ing dumb? seriously 
<p></p>","2014-10-05 00:00:00"
1030,31,"6f2d35c25fb498ec","<p>you know we only express our dislike of him when someone makes a thread about him, right?</p>","2014-10-05 00:00:00"
1030,32,"1649ddb9d9410e9e","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>160a1b78dcdbd065</strong>: 
  </div> 
  <div>
    you still don't have to deal with him. blacklist him and don't click on his posts. are you ****ing dumb? seriously 
  </div> 
 </div> 
</div> 
<br /> I'd rather not do that, because he's not so bad of a poster that he's just straight up wrong all the time. He does bring up valid points from time to time. 
<br /> 
<br /> Blacklisting people who I don't agree with seems kind of narrow minded and stupid to me. 
<p></p>","2014-10-05 00:00:00"
